source,target,similarity
7VVB_A_native,8T71_A_native,0.9581637616629638
7VVB_A_native,8T74_A_native,0.9609239177947919
7VVB_A_native,8T75_A_native,0.9609239177947919
7VVB_A_native,8JHL_A_native,0.9561808799752898
7VVB_A_native,8T73_A_native,0.9589621008744229
7VVB_A_native,8JGD_A_native,0.9522355595026196
7VVB_A_native,8BLR_A_native,0.9525751759581533
7VVB_A_native,8CPR_A_native,0.9525751759581533
7VVB_A_native,4LPK_B_native,0.961115792322015
8T71_A_native,8T74_A_native,0.9863351330068143
8T71_A_native,8T75_A_native,0.9863351330068143
8T71_A_native,8JHL_A_native,0.9748843797109504
8T71_A_native,8T73_A_native,0.970833977424958
8T71_A_native,8JGD_A_native,0.9709292838971866
8T71_A_native,8BLR_A_native,0.9605119775283574
8T71_A_native,8CPR_A_native,0.9605119775283574
8T71_A_native,4LPK_B_native,0.9494880115850665
8T74_A_native,8T75_A_native,1.0
8T74_A_native,8JHL_A_native,0.9776800202834527
8T74_A_native,8T73_A_native,0.9736216999599685
8T74_A_native,8JGD_A_native,0.9737149216099523
8T74_A_native,8BLR_A_native,0.9632764918523362
8T74_A_native,8CPR_A_native,0.9632764918523362
8T74_A_native,4LPK_B_native,0.9533815074329319
8T75_A_native,8JHL_A_native,0.9776800202834527
8T75_A_native,8T73_A_native,0.9736216999599685
8T75_A_native,8JGD_A_native,0.9737149216099523
8T75_A_native,8BLR_A_native,0.9632764918523362
8T75_A_native,8CPR_A_native,0.9632764918523362
8T75_A_native,4LPK_B_native,0.9533815074329319
8JHL_A_native,8T73_A_native,0.9689323705372858
8JHL_A_native,8JGD_A_native,0.987967076084803
8JHL_A_native,8BLR_A_native,0.9694916389073963
8JHL_A_native,8CPR_A_native,0.9694916389073963
8JHL_A_native,4LPK_B_native,0.9474483619312204
8T73_A_native,8JGD_A_native,0.9649704649502734
8T73_A_native,8BLR_A_native,0.9544144693392059
8T73_A_native,8CPR_A_native,0.9544144693392059
8T73_A_native,4LPK_B_native,0.9675817756846189
8JGD_A_native,8BLR_A_native,0.9655274465060019
8JGD_A_native,8CPR_A_native,0.9655274465060019
8JGD_A_native,4LPK_B_native,0.9435140283686763
8BLR_A_native,8CPR_A_native,1.0
8BLR_A_native,4LPK_B_native,0.9327982201255314
8CPR_A_native,4LPK_B_native,0.9327982201255314
